name,type,unit,required,vocabulary,multiple_allowed,valid_min,valid_max,NAok,description,notes,obo
soil_type,character,,no,,yes,,,yes,Soil name or description,,http://purl.obolibrary.org/obo/AGRO_00010099
soil_pH,numeric,,no,,no,2,10,yes,Soil pH (H2O),,http://purl.obolibrary.org/obo/ENVO_09200010
soil_pH_KCl,numeric,,no,,no,2,10,yes,Soil pH (KCl),,http://purl.obolibrary.org/obo/ENVO_09200010
soil_pH_CaCl2,numeric,,no,,no,2,10,yes,Soil pH (KCl),,http://purl.obolibrary.org/obo/ENVO_09200010
soil_SOC,numeric,%,no,,no,0,30,yes,Soil organic carbon,,
soil_C_total,numeric,%,no,,no,0,40,yes,Soil total carbon,,
soil_inorgC_total,numeric,%,no,,no,0,20,yes,Soil total carbon,,
soil_sand,numeric,%,no,,no,0,100,yes,Soil sand content (excluding gravel),,
soil_clay,numeric,%,no,,no,0,100,yes,Soil clay content (excluding gravel),,http://purl.obolibrary.org/obo/ENVO_00002982
soil_silt,numeric,%,no,,no,0,100,yes,Soil silt content (excluding gravel),,
soil_N,numeric,mg/kg,no,,no,1,20000,yes,Soil N content,,http://purl.obolibrary.org/obo/ENVO_09000017
soil_K,numeric,mg/kg,no,,no,1,40000,yes,Soil K content,,
soil_P_total,numeric,mg/kg,no,,no,0,6500,yes,Soil P (total) ,,
soil_P_available,numeric,mg/kg,no,,no,0.01,200,yes,Soil P (plant available) ,,
soil_Ca,numeric,mg/kg,no,,no,1,400000,yes,Soil Ca content,,
soil_Mg,numeric,mg/kg,no,,no,1,100000,yes,Soil Mg content,,
soil_B,numeric,mg/kg,no,,no,0,500,yes,Soil B content,,
soil_Cu,numeric,mg/kg,no,,no,0,800,yes,Soil Cu content,,
soil_Mn,numeric,mg/kg,no,,no,0,20000,yes,Soil Mn content,,
soil_Fe,numeric,mg/kg,no,,no,0,300000,yes,Soil Fe content,,
soil_S,numeric,mg/kg,no,,no,0,10000,yes,Soil S content,,
soil_Zn,numeric,mg/kg,no,,no,0,300,yes,Soil Zn content,,
soil_Na,numeric,mg/kg,no,,no,,,yes,Soil Na content,,
soil_Al,numeric,mg/kg,no,,no,,,yes,Soil Al content,,
soil_C,numeric,%,no,,no,0.01,20,yes,Soil C content,,
soil_EC,numeric,mS/cm,no,,no,0,100,yes,Soil electric conductivity,,
soil_bd,numeric,g/cm^-3,no,,no,0,20,yes,Soil bulk density,,
soil_sample_top,numeric,cm,no,,no,0,200,yes,Soil sampling depth (top),,
soil_sample_bottom,numeric,cm,no,,no,0,200,yes,Soil sampling depth (bottom),,
soil_CEC,numeric,,no,,no,0,200,yes,Cation Exchange Capacity,,
soil_Ex_Ca,numeric,mg/kg,no,,no,0,200,yes,Soil exchangeable Ca,,
soil_Ex_Mg,numeric,mg/kg,no,,no,0,200,yes,Soil exchangeable Mg,,
soil_Ex_K,numeric,mg/kg,no,,no,0,200,yes,Soil exchangeable K,,
soil_Ex_Na,numeric,mg/kg,no,,no,0,200,yes,Soil exchangeable Na,,
soil_Ex_Al,numeric,mg/kg,no,,no,0,200,yes,Soil exchangeable Al,,
soil_AmOx_Al,numeric,mg/kg,no,,no,0,40000,yes,Soil acid ammonium oxalate extractable Al,,
soil_AmOx_Fe,numeric,mg/kg,no,,no,0,50000,yes,Soil acid ammonium oxalate extractable Fe,,
soil_AmOx_Mn,numeric,mg/kg,no,,no,0,10000,yes,Soil acid ammonium oxalate extractable Mn,,
soil_AmOx_P,numeric,mg/kg,no,,no,0,10000,yes,Soil acid ammonium oxalate extractable P,,
soil_olsen_P,numeric,mg/kg,no,,no,0,1000,yes,Soil olsen P,,
soil_pbi,numeric,mg/kg,no,,no,0,3000,yes,Phosphate Buffering Index,,
soil_Co,numeric,mg/kg,no,,no,0,200,yes,Quasi Total Cobalt,,
soil_Cr,numeric,mg/kg,no,,no,0,1500,yes,Quasi Total Chromium,,
soil_Ni,numeric,mg/kg,no,,no,0,500,yes,Quasi Total Nickel,,
soil_Pb,numeric,mg/kg,no,,no,0,1500,yes,Quasi Total Lead,,
soil_As_75,numeric,mg/kg,no,,no,0,100,yes,Quasi-Total Arsenic-75 Isotope,,
soil_Se_78,numeric,mg/kg,no,,no,0,100,yes,Quasi-Total Selenium-78 Isotope,,
soil_Mo_95,numeric,mg/kg,no,,no,0,100,yes,Quasi-Total Molybdenum-95 Isotope,,
soil_Cd_114,numeric,mg/kg,no,,no,0,100,yes,Quasi-Total Cadmium-114 Isotope,,
